func_name,shadow_price,ir_count,opt_level,inlined,threshold_baseline,threshold_adjusted
func_41_size_100_opt_0,10.00,100,0,0,20,5
func_41_size_200_opt_0,7.00,200,0,0,20,5
func_41_size_500_opt_0,7.00,500,0,0,20,5
func_42_size_10_opt_0,1199.00,10,0,1,20,100
func_42_size_50_opt_0,1093.00,50,0,1,20,100
func_42_size_100_opt_0,960.00,100,0,0,20,100
func_42_size_200_opt_0,1042.00,200,0,0,20,100
func_42_size_500_opt_0,1144.00,500,0,0,20,100
func_43_size_10_opt_0,11.00,10,0,0,20,5
func_43_size_50_opt_0,15.00,50,0,0,20,5
func_43_size_100_opt_0,13.00,100,0,0,20,5
func_43_size_200_opt_0,5.00,200,0,0,20,5
func_43_size_500_opt_0,8.00,500,0,0,20,5
func_44_size_10_opt_0,1081.00,10,0,1,20,100
func_44_size_50_opt_0,1191.00,50,0,1,20,100
func_44_size_100_opt_0,995.00,100,0,0,20,100
func_44_size_200_opt_0,899.00,200,0,0,20,100
func_44_size_500_opt_0,1061.00,500,0,0,20,100
func_45_size_10_opt_0,5.00,10,0,0,20,5
func_45_size_50_opt_0,7.00,50,0,0,20,5
func_45_size_100_opt_0,13.00,100,0,0,20,5
func_45_size_200_opt_0,5.00,200,0,0,20,5
func_45_size_500_opt_0,11.00,500,0,0,20,5
func_46_size_10_opt_0,1125.00,10,0,1,20,100
func_46_size_50_opt_0,819.00,50,0,1,20,100
func_46_size_100_opt_0,1168.00,100,0,0,20,100
func_46_size_200_opt_0,1088.00,200,0,0,20,100
func_46_size_500_opt_0,1154.00,500,0,0,20,100
func_47_size_10_opt_0,13.00,10,0,0,20,5
func_47_size_50_opt_0,14.00,50,0,0,20,5
func_47_size_100_opt_0,13.00,100,0,0,20,5
func_47_size_200_opt_0,9.00,200,0,0,20,5
func_47_size_500_opt_0,13.00,500,0,0,20,5
func_48_size_10_opt_0,1095.00,10,0,1,20,100
func_48_size_50_opt_0,1013.00,50,0,1,20,100
func_48_size_100_opt_0,982.00,100,0,0,20,100
func_48_size_200_opt_0,890.00,200,0,0,20,100
func_48_size_500_opt_0,821.00,500,0,0,20,100
func_49_size_10_opt_0,11.00,10,0,0,20,5
func_49_size_50_opt_0,8.00,50,0,0,20,5
func_49_size_100_opt_0,14.00,100,0,0,20,5
func_49_size_200_opt_0,6.00,200,0,0,20,5
func_49_size_500_opt_0,14.00,500,0,0,20,5
func_0_size_10_opt_1,1027.00,10,1,1,50,250
func_0_size_50_opt_1,1032.00,50,1,1,50,250
func_0_size_100_opt_1,1078.00,100,1,1,50,250
func_0_size_200_opt_1,1050.00,200,1,1,50,250
func_0_size_500_opt_1,1196.00,500,1,0,50,250
func_1_size_10_opt_1,6.00,10,1,0,50,5
func_1_size_50_opt_1,14.00,50,1,0,50,7
func_1_size_100_opt_1,9.00,100,1,0,50,5
func_1_size_200_opt_1,6.00,200,1,0,50,5
func_1_size_500_opt_1,12.00,500,1,0,50,6
func_2_size_10_opt_1,893.00,10,1,1,50,250
func_2_size_50_opt_1,1012.00,50,1,1,50,250
func_2_size_100_opt_1,822.00,100,1,1,50,250
func_2_size_200_opt_1,1098.00,200,1,1,50,250
func_2_size_500_opt_1,821.00,500,1,0,50,250
